step,f_min,alpha_gov,k_t_minus_1,target_t,predicted_k_t,observed_k_t,abs_error
31,0.2,0.1,0.2,0.25326991424923795,0.2053269914249238,0.2053269914249238,0.0
32,0.2,0.1,0.2053269914249238,0.2521994816773673,0.21001424045016814,0.21001424045016814,0.0
33,0.2,0.1,0.21001424045016814,0.2199146989607267,0.211004286301224,0.211004286301224,0.0
34,0.2,0.1,0.211004286301224,0.16162966672759574,0.20606682434386117,0.20606682434386117,0.0
35,0.2,0.1,0.20606682434386117,0.1284103853881474,0.2,0.2,0.0
36,0.2,0.1,0.2,0.0949684655952915,0.2,0.2,0.0
37,0.2,0.1,0.2,0.10517965488070313,0.2,0.2,0.0
38,0.2,0.1,0.2,0.10791081300398878,0.2,0.2,0.0
39,0.2,0.1,0.2,0.12204867381367496,0.2,0.2,0.0
40,0.2,0.1,0.2,0.1256014723922746,0.2,0.2,0.0
41,0.2,0.1,0.2,0.12124601684887557,0.2,0.2,0.0
42,0.2,0.1,0.2,0.09191519358109763,0.2,0.2,0.0
43,0.2,0.1,0.2,0.2675715619290534,0.20675715619290536,0.20675715619290536,0.0
44,0.2,0.1,0.20675715619290536,0.26971702710575485,0.2130531432841903,0.2130531432841903,0.0
45,0.2,0.1,0.2130531432841903,0.25453123389746674,0.21720095234551795,0.21720095234551795,0.0
46,0.2,0.1,0.21720095234551795,0.1983088632388294,0.2153117434348491,0.2153117434348491,0.0
47,0.2,0.1,0.2153117434348491,0.13732403623600392,0.20751297271496458,0.20751297271496458,0.0
48,0.2,0.1,0.20751297271496458,0.09876291318066074,0.2,0.2,0.0
49,0.2,0.1,0.2,0.07481117641173766,0.2,0.2,0.0
50,0.2,0.1,0.2,0.059941773644337025,0.2,0.2,0.0
51,0.2,0.1,0.2,0.0707228847943951,0.2,0.2,0.0
52,0.2,0.1,0.2,0.06410119441776299,0.2,0.2,0.0
53,0.2,0.1,0.2,0.07265437649041186,0.2,0.2,0.0
54,0.2,0.1,0.2,0.06231213928278047,0.2,0.2,0.0
55,0.2,0.1,0.2,0.08405436768395659,0.2,0.2,0.0
56,0.2,0.1,0.2,0.2588704362771806,0.20588704362771806,0.20588704362771806,0.0
57,0.2,0.1,0.20588704362771806,0.24860954091621515,0.21015929335656777,0.21015929335656777,0.0
58,0.2,0.1,0.21015929335656777,0.21555820844071394,0.2106991848649824,0.2106991848649824,0.0
59,0.2,0.1,0.2106991848649824,0.16737214658975502,0.20636648103745966,0.20636648103745966,0.0
60,0.2,0.1,0.20636648103745966,0.1309255891785871,0.2,0.2,0.0
61,0.2,0.1,0.2,0.12013865442908553,0.2,0.2,0.0
62,0.2,0.1,0.2,0.26891912647889177,0.2068919126478892,0.2068919126478892,0.0
63,0.2,0.1,0.2068919126478892,0.2723171576634056,0.21343443714944083,0.21343443714944083,0.0
64,0.2,0.1,0.21343443714944083,0.24149869580021785,0.21624086301451853,0.21624086301451853,0.0
65,0.2,0.1,0.21624086301451853,0.21087012597663243,0.21570378931072992,0.21570378931072992,0.0
66,0.2,0.1,0.21570378931072992,0.17614351488135385,0.21174776186779232,0.21174776186779232,0.0
67,0.2,0.1,0.21174776186779232,0.16115695822251766,0.20668868150326486,0.20668868150326486,0.0
68,0.2,0.1,0.20668868150326486,0.15738202999943496,0.20175801635288187,0.20175801635288187,0.0
69,0.2,0.1,0.20175801635288187,0.1299438975467771,0.2,0.2,0.0
70,0.2,0.1,0.2,0.2735366648294714,0.20735366648294715,0.20735366648294715,0.0
71,0.2,0.1,0.20735366648294715,0.2689048026355934,0.21350878009821178,0.21350878009821178,0.0
72,0.2,0.1,0.21350878009821178,0.24043942609880894,0.2162018446982715,0.2162018446982715,0.0
73,0.2,0.1,0.2162018446982715,0.22034389975453877,0.21661605020389824,0.21661605020389824,0.0
74,0.2,0.1,0.21661605020389824,0.20686812306218355,0.21564125748972676,0.21564125748972676,0.0
75,0.2,0.1,0.21564125748972676,0.1861822078659291,0.212695352527347,0.212695352527347,0.0
76,0.2,0.1,0.212695352527347,0.15811398018733003,0.2072372152933453,0.2072372152933453,0.0
77,0.2,0.1,0.2072372152933453,0.15500513264431376,0.20201400702844213,0.20201400702844213,0.0
78,0.2,0.1,0.20201400702844213,0.14560521393773376,0.2,0.2,0.0
79,0.2,0.1,0.2,0.11450292636835067,0.2,0.2,0.0
80,0.2,0.1,0.2,0.10429452135553441,0.2,0.2,0.0
81,0.2,0.1,0.2,0.1038741176525797,0.2,0.2,0.0
82,0.2,0.1,0.2,0.0893528610102464,0.2,0.2,0.0
83,0.2,0.1,0.2,0.08142018174465053,0.2,0.2,0.0
84,0.2,0.1,0.2,0.07458468232263163,0.2,0.2,0.0
85,0.2,0.1,0.2,0.24951740365856492,0.2049517403658565,0.2049517403658565,0.0
86,0.2,0.1,0.2049517403658565,0.24948644202106368,0.20940521053137723,0.20940521053137723,0.0
87,0.2,0.1,0.20940521053137723,0.22919676679013107,0.21138436615725262,0.21138436615725262,0.0
88,0.2,0.1,0.21138436615725262,0.19389937221350975,0.20963586676287832,0.20963586676287832,0.0
89,0.2,0.1,0.20963586676287832,0.16665190717637907,0.2053374708042284,0.2053374708042284,0.0
90,0.2,0.1,0.2053374708042284,0.14904320537489618,0.2,0.2,0.0
91,0.2,0.1,0.2,0.12321705754103211,0.2,0.2,0.0
92,0.2,0.1,0.2,0.0928741660334571,0.2,0.2,0.0
93,0.2,0.1,0.2,0.27275337071171524,0.20727533707117154,0.20727533707117154,0.0
94,0.2,0.1,0.20727533707117154,0.28142370929025207,0.2146901742930796,0.2146901742930796,0.0
95,0.2,0.1,0.2146901742930796,0.2470643699888791,0.21792759386265956,0.21792759386265956,0.0
96,0.2,0.1,0.21792759386265956,0.21126501585528587,0.2172613360619222,0.2172613360619222,0.0
97,0.2,0.1,0.2172613360619222,0.1624148180086626,0.21177668425659624,0.21177668425659624,0.0
98,0.2,0.1,0.21177668425659624,0.13739220469791852,0.20433823630072848,0.20433823630072848,0.0
99,0.2,0.1,0.20433823630072848,0.12339540370197966,0.2,0.2,0.0
100,0.2,0.1,0.2,0.27172111446175456,0.20717211144617548,0.20717211144617548,0.0
101,0.2,0.1,0.20717211144617548,0.2658366464512424,0.21303856494668216,0.21303856494668216,0.0
102,0.2,0.1,0.21303856494668216,0.23026926366976438,0.21476163481899038,0.21476163481899038,0.0
103,0.2,0.1,0.21476163481899038,0.1991379533961814,0.2131992666767095,0.2131992666767095,0.0
104,0.2,0.1,0.2131992666767095,0.1827723947633317,0.21015657948537173,0.21015657948537173,0.0
105,0.2,0.1,0.21015657948537173,0.14024503982096684,0.20316542551893124,0.20316542551893124,0.0
106,0.2,0.1,0.20316542551893124,0.11210098555475871,0.2,0.2,0.0
107,0.2,0.1,0.2,0.11949891147870101,0.2,0.2,0.0
108,0.2,0.1,0.2,0.13144118044001868,0.2,0.2,0.0
109,0.2,0.1,0.2,0.2815032918502309,0.2081503291850231,0.2081503291850231,0.0
110,0.2,0.1,0.2081503291850231,0.2744093431630131,0.2147762305828221,0.2147762305828221,0.0
111,0.2,0.1,0.2147762305828221,0.2329908139219118,0.2165976889167311,0.2165976889167311,0.0
112,0.2,0.1,0.2165976889167311,0.28006021822840893,0.22294394184789887,0.22294394184789887,0.0
113,0.2,0.1,0.22294394184789887,0.2647484680626349,0.22712439446937246,0.22712439446937246,0.0
114,0.2,0.1,0.22712439446937246,0.2410517118715342,0.22851712620958864,0.22851712620958864,0.0
115,0.2,0.1,0.22851712620958864,0.2772032534827242,0.2333857389369022,0.2333857389369022,0.0
116,0.2,0.1,0.2333857389369022,0.26047063207722204,0.23609422825093418,0.23609422825093418,0.0
117,0.2,0.1,0.23609422825093418,0.2236791974446566,0.23485272517030642,0.23485272517030642,0.0
118,0.2,0.1,0.23485272517030642,0.21435268101528496,0.23280272075480427,0.23280272075480427,0.0
119,0.2,0.1,0.23280272075480427,0.16750648647843372,0.22627309732716722,0.22627309732716722,0.0
120,0.2,0.1,0.22627309732716722,0.11544526947258847,0.21519031454170934,0.21519031454170934,0.0
121,0.2,0.1,0.21519031454170934,0.08657592130530518,0.20232887521806892,0.20232887521806892,0.0
122,0.2,0.1,0.20232887521806892,0.07589475418331262,0.2,0.2,0.0
123,0.2,0.1,0.2,0.08722948594210062,0.2,0.2,0.0
124,0.2,0.1,0.2,0.09522217630169033,0.2,0.2,0.0
125,0.2,0.1,0.2,0.10520659856780008,0.2,0.2,0.0
126,0.2,0.1,0.2,0.2905450883015085,0.20905450883015086,0.20905450883015086,0.0
127,0.2,0.1,0.20905450883015086,0.29037873689044896,0.21718693163618066,0.21718693163618066,0.0
128,0.2,0.1,0.21718693163618066,0.25627502377414096,0.22109574084997669,0.22109574084997669,0.0
129,0.2,0.1,0.22109574084997669,0.1979693895308687,0.2187831057180659,0.2187831057180659,0.0
130,0.2,0.1,0.2187831057180659,0.17308719190116525,0.21421351433637584,0.21421351433637584,0.0
131,0.2,0.1,0.21421351433637584,0.15325544632313234,0.2081177075350515,0.2081177075350515,0.0
132,0.2,0.1,0.2081177075350515,0.11188106053361921,0.2,0.2,0.0
133,0.2,0.1,0.2,0.09856176677730896,0.2,0.2,0.0
134,0.2,0.1,0.2,0.09257516490638322,0.2,0.2,0.0
135,0.2,0.1,0.2,0.10953977911362363,0.2,0.2,0.0
136,0.2,0.1,0.2,0.09419036735508522,0.2,0.2,0.0
137,0.2,0.1,0.2,0.08152250096155633,0.2,0.2,0.0
138,0.2,0.1,0.2,0.08878298605287471,0.2,0.2,0.0
139,0.2,0.1,0.2,0.07250058861552233,0.2,0.2,0.0
140,0.2,0.1,0.2,0.08749982523642437,0.2,0.2,0.0
141,0.2,0.1,0.2,0.1009095533214957,0.2,0.2,0.0
142,0.2,0.1,0.2,0.10352928875767953,0.2,0.2,0.0
143,0.2,0.1,0.2,0.0804476645128401,0.2,0.2,0.0
144,0.2,0.1,0.2,0.05880833199784802,0.2,0.2,0.0
145,0.2,0.1,0.2,0.08107688531135852,0.2,0.2,0.0
146,0.2,0.1,0.2,0.25987322756273223,0.20598732275627324,0.20598732275627324,0.0
147,0.2,0.1,0.20598732275627324,0.26455236380207753,0.21184382686085368,0.21184382686085368,0.0
148,0.2,0.1,0.21184382686085368,0.2357123127902857,0.21423067545379687,0.21423067545379687,0.0
149,0.2,0.1,0.21423067545379687,0.2070776422567705,0.21351537213409424,0.21351537213409424,0.0
