record_id,cluster,title,record_url,previous_captured_at,current_captured_at,previous_views,current_views,delta_views,previous_downloads,current_downloads,delta_downloads,previous_unique_views,current_unique_views,delta_unique_views,previous_unique_downloads,current_unique_downloads,delta_unique_downloads,status_note
20076951,Formal Systems,Constraint–Accessibility Mapping: A Minimal Formal Extension of the Domain of Non-Existence,https://zenodo.org/records/20076951,,2026-06-11T06:06:24-05:00,,21,,,7,,,20,,,7,,new_in_current_watchlist
20499518,SOE Core,System of Eternity Operation Layer: Final Assembled Paper Draft v0.1.3,https://zenodo.org/records/20499518,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,21,29,8,8,13,5,18,24,6,7,11,4,
20499579,SOE Core,System of Eternity Governance Architecture v0.5.2,https://zenodo.org/records/20499579,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,72,82,10,9,16,7,54,62,8,9,14,5,
20499592,SOE Core,System of Eternity (SOE): A Non-Terminal Civilizational Governance Framework (V4.4),https://zenodo.org/records/20499592,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,73,91,18,11,25,14,58,74,16,10,21,11,
19754682,SOE Prior,Bounded Propagation Without Ignition: Structural Limits of Local Coupling in Governance Network Simulations,https://zenodo.org/records/19754682,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,23,33,10,8,14,6,18,26,8,6,11,5,
20066833,SOE Prior,Structural Failure Modes in Civilizational Systems: Five Canonical Pathways and Integrated Detection Framework,https://zenodo.org/records/20066833,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,36,49,13,9,18,9,29,41,12,7,14,7,
20078764,SOE Prior,System of Eternity (SOE): Architecture Design v0.3 — Institutional Mechanisms Integration Snapshot,https://zenodo.org/records/20078764,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,72,82,10,9,16,7,54,62,8,9,14,5,
20066770,SOE Related,Acceleration-Capacity Gap Model (ACGM): A Structural Framework for Civilizational Stability in the AI Era,https://zenodo.org/records/20066770,,2026-06-11T06:06:24-05:00,,29,,,9,,,18,,,7,,new_in_current_watchlist
20218919,SOE Related,Structural Failure Modes in Civilizational Systems: Five Canonical Pathways and Integrated Detection Framework,https://zenodo.org/records/20218919,,2026-06-11T06:06:24-05:00,,49,,,18,,,41,,,14,,new_in_current_watchlist
20054302,SOE Simulation Program,System of Eternity (SOE): Simulation Program — Foundational Research Artifacts (v1.3 through v12),https://zenodo.org/records/20054302,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,21,32,11,1,29,28,15,24,9,1,27,26,
19765767,SOE Simulations,"Regime-Dependent Stability in Trust-Mediated Governance Networks: Disturbance Primacy, Control Masking, and Governance Insensitivity",https://zenodo.org/records/19765767,,2026-06-11T06:06:24-05:00,,33,,,14,,,26,,,12,,new_in_current_watchlist
20117489,SOE Simulations,A Simulation-Constrained Dynamic Architecture for Governance Stability,https://zenodo.org/records/20117489,,2026-06-11T06:06:24-05:00,,39,,,13,,,32,,,11,,new_in_current_watchlist
20144235,SOE Simulations,System of Eternity (SOE) Governance Architecture: Grand Simulation v0.7 Companion Archive,https://zenodo.org/records/20144235,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,27,31,4,6,8,2,24,26,2,5,7,2,
20147828,SOE Simulations,System of Eternity Governance Architecture: Simulation-Evidence Manuscript Draft after Grand Simulation v0.7,https://zenodo.org/records/20147828,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,15,24,9,14,25,11,14,19,5,12,18,6,
20471382,SOE Simulations,System of Eternity: Second and Third Grand Simulation Evidence Update after Operation Layer Integration,https://zenodo.org/records/20471382,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,19,26,7,4,4,0,13,19,6,3,3,0,
20499843,SOE Source Archive,"System of Eternity Future-Concern Harvest Source Archive: Fiction, Media, Nonfiction, and Expert Scenario Patterns",https://zenodo.org/records/20499843,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,12,18,6,0,2,2,9,14,5,0,2,2,
20471399,SOE Synthesis,"System of Eternity: Architecture, Evidence Boundaries, and Future-Concern Registry",https://zenodo.org/records/20471399,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,22,33,11,4,11,7,15,25,10,1,7,6,
19984642,SOE/CTF Bridge,The Trinity Framework of Cognitive Systems: A Structured Critical Thinking Architecture for Complex Adaptive Systems,https://zenodo.org/records/19984642,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,57,74,17,2,12,10,46,59,13,2,10,8,
